store_id,sku_id,model,mae,mape
S03,SKU004,naive,26.5625,41.33480329560581
S02,SKU001,lgbm,26.13122352975661,42.08391327446433
S03,SKU005,naive,24.4375,42.51560960272762
S01,SKU005,lgbm,23.071433913241002,42.573063108443684
S01,SKU002,lgbm,27.472557767455616,43.207018495129844
S03,SKU003,sarimax,35.6875,43.342845335807645
S02,SKU004,naive,23.0625,44.73943568666303
S02,SKU002,naive,25.6875,44.85717270840762
S01,SKU004,seasonal_naive,30.0,46.405624701856134
S01,SKU003,seasonal_naive,33.8125,46.70392355268329
S03,SKU002,naive,19.625,47.360870875580844
S02,SKU005,naive,28.5,48.585276236587575
S02,SKU003,naive,26.1875,50.18980733840651
S01,SKU001,naive,15.3125,52.47879823376462
S03,SKU001,naive,24.1875,56.919979661012746
